ᄀ,0,0,0,NN,F,ᄀ,*,*,*,ᆽ/NN,*
ᆼ낳,0,0,0,VX+EF,T,ᆼ낳,Inflect,VX,EF,않/VX+는다/EF,*
가,0,0,0,VCP+EC,F,가,Inflect,VCP,EC,이/VCP+가/EC,*
가,0,0,0,VCP+EF,F,가,Inflect,VCP,EF,이/VCP+가/EF,*
가,0,0,0,VCP+JKS,F,가,Inflect,VCP,JKS,이/VCP+가/JKS,*
가,0,0,0,VV,F,가,*,*,*,갈/VV,*
가,0,0,0,VX+EC,F,가,Inflect,VX,EC,갖/VX+ㅏ/EC,*
가겔,0,0,0,NN+JKO,T,가겔,Inflect,NN,JKO,가게/NN+ㄹ/JKO,*
가격,0,0,0,NN,T,가격,*,*,*,가겨/NN,*
가까,0,0,0,VA+EF,F,가까,Inflect,VA,EF,가깝/VA+어/EF,*
가까,0,0,0,VA+EP,F,가까,Inflect,VA,EP,가깝/VA+었/EP,*
가까,0,0,0,VA+ETN,F,가까,Inflect,VA,ETN,가깝/VA+ᄆ/ETN,*
가까,0,0,0,VV+EP,F,가까,Inflect,VV,EP,가깝/VV+었/EP,*
가까와,0,0,0,VA+EC+VX+EP,F,가까와,Inflect,VA,EC,가깝/VA+어/EC+지/VX+었/EP,*
가까와,0,0,0,VA+EC+VX+ETN,F,가까와,Inflect,VA,EC,가깝/VA+어/EC+지/VX+ᄆ/ETN,*
가까와도,0,0,0,VA+EC+VX+EC,F,가까와도,Inflect,VA,EC,가깝/VA+어/EC+오/VX+아도/EC,*
가까와서,0,0,0,VA+EC+VX+EC,F,가까와서,Inflect,VA,EC,가깝/VA+어/EC+오/VX+아서/EC,*
가까와졌,0,0,0,VA+EC+VX+EC+VX+EP,T,가까와졌,Inflect,VA,EC,가깝/VA+어/EC+오/VX+아/EC+지/VX+었/EP,*
가까와지고,0,0,0,VA+EC+VX+EC,F,가까와지고,Inflect,VA,EC,가깝/VA+어/EC+지/VX+고/EC,*
가까와지는,0,0,0,VA+EC+VX+EF,T,가까와지는,Inflect,VA,EC,가깝/VA+아/EC+지/VX+는데요/EF,*
가까와지면서,0,0,0,VA+EC+VX+EC,F,가까와지면서,Inflect,VA,EC,가깝/VA+어/EC+지/VX+면서/EC,*
가까와질,0,0,0,VA+EC+VX+ETM,T,가까와질,Inflect,VA,EC,가깝/VA+어/EC+지/VX+ᆯ/ETM,*
가까와질수록,0,0,0,VA+EC+VX+EC,T,가까와질수록,Inflect,VA,EC,가깝/VA+어/EC+지/VX+ᆯ수록/EC,*
가까와짐,0,0,0,VA+EC+VX+EC+VX+ETN,T,가까와짐,Inflect,VA,EC,가깝/VA+어/EC+오/VX+아/EC+지/VX+ᄆ/ETN,*
